Window_Start,Window_End,information,ch1_avg,ch2_avg,ch1_peak,ch2_peak,peak_time
0.5620000000344589,5.562000000034459,Initial Baseline,623.9374053340002,617.5906594783339,,,
476.7029999999795,481.7029999999795,Baseline Window (5ug/ml / 5ug/ml),623.8522856684552,617.5906594783339,623.9792347841471,617.590659478334,453.43700000003446
664.2810000000754,669.2810000000754,Baseline Window (5ug/ml / 10ug/ml),623.8554773712663,617.5906594783339,623.9752071511853,617.590659478334,641.265000000014
1083.125,1088.125,Baseline Window (10ug/ml / 10ug/ml),623.8519297039155,617.5906594783339,624.0283417277668,617.590659478334,1059.734000000055
1269.734000000055,1274.734000000055,Baseline Window (10ug/ml / 50ug/ml),623.8662573053567,617.5906594783339,624.0160261924029,617.590659478334,1246.7810000000754
1686.234000000055,1691.234000000055,Baseline Window (50ug/ml / 50ug/ml),623.8545064503267,617.5906594783339,624.2974042957006,617.590659478334,1663.015000000014
1873.609000000055,1878.609000000055,Baseline Window (50ug/ml / 100ug/ml),623.8667646060983,617.5906594783339,624.2929726871512,617.590659478334,1850.5779999999795
2230.4060000000754,2235.4060000000754,Baseline Window (100ug/ml / 100ug/ml),623.8622175781373,617.5906594783339,624.4264240188315,617.590659478334,2207.484000000055
2418.015000000014,2423.015000000014,Baseline Window (100ug/ml / 200ug/ml),623.8573234867509,617.5906594783339,624.4248131076529,617.590659478334,2395.0
2773.5310000000754,2778.5310000000754,Baseline Window (200ug/ml / 200ug/ml),623.8644417155483,617.5906594783339,624.5421892674286,617.590659478334,2750.734000000055
2961.25,2966.25,Baseline Window (200ug/ml / 1000ug/ml),623.9175388577858,617.5906594783339,624.5271220901741,617.590659478334,2938.217999999993
3292.515000000014,3297.515000000014,Baseline Window (1000ug/ml / 1000ug/ml),623.8634011072694,617.5906594783339,624.6626739417453,617.590659478334,3269.609000000055
3418.0620000000345,3423.0620000000345,Baseline Window (1000ug/ml / 1500ug/ml),624.661366504126,617.5906594783339,624.7711778845371,617.590659478334,3395.234000000055
3743.422000000021,3748.422000000021,Baseline Window (1500ug/ml / 1500ug/ml),623.905090594678,617.5906594783339,624.6811727878903,617.590659478334,3720.57799999998
3881.875,3886.875,Baseline Window (1500ug/ml / Final),624.6891347116272,617.5906594783339,624.8011311007634,617.590659478334,3858.75
4020.484000000055,4025.484000000055,Final Baseline,623.9099494445297,617.5906594783339,,,
