time,conc
322,5ug/ml-1
509,5ug/ml-2
928,10ug/ml-1
1116,10ug/ml-2
1531,50ug/ml-1
1719,50ug/ml-2
2076,100ug/ml-1
2263,100ug/ml-2
2619,200ug/ml-1
2807,200ug/ml-2
3138,1000ug/ml-1
3326,1000ug/ml-2
3588,1500ug/ml-1
3787,1500ug/ml-2
