Window_Start,Window_End,information,ch1_avg,ch2_avg,ch1_peak,ch2_peak,peak_time
0.9839999999967404,5.98399999999674,Initial Baseline,624.3606808655503,617.5348709557612,,,
498.63999999995576,503.63999999995576,Baseline Window (5ug/ml / 5ug/ml),623.4111439799384,617.5348709557612,623.4564215397188,617.5348709557612,475.26499999995576
688.0619999999763,693.0619999999763,Baseline Window (5ug/ml / 10ug/ml),623.3929834873446,617.5348709557612,623.42304275556,617.5348709557612,664.7339999999967
1103.2029999999795,1108.2029999999795,Baseline Window (10ug/ml / 10ug/ml),623.3842933192153,617.5348709557612,623.4804079713882,617.5348709557612,1079.655999999959
1291.9369999999765,1296.9369999999765,Baseline Window (10ug/ml / 50ug/ml),623.3756912976651,617.5348709557612,623.4751755334092,617.5348709557612,1268.7649999999558
1715.0149999999558,1720.0149999999558,Baseline Window (50ug/ml / 50ug/ml),623.3754261398057,617.5348709557612,623.5991854139036,617.5348709557612,1691.7969999999625
1904.2339999999967,1909.2339999999967,Baseline Window (50ug/ml / 100ug/ml),623.3763631495094,617.5348709557612,623.5943974552573,617.5348709557612,1881.030999999959
2264.7339999999967,2269.7339999999967,Baseline Window (100ug/ml / 100ug/ml),623.3630844869549,617.5348709557612,623.6419418834776,617.5348709557612,2241.405999999959
2454.030999999959,2459.030999999959,Baseline Window (100ug/ml / 200ug/ml),623.371567150263,617.5348709557612,623.6402368065731,617.5348709557612,2430.5779999999795
2815.155999999959,2820.155999999959,Baseline Window (200ug/ml / 200ug/ml),623.3644873526126,617.5348709557612,623.6840951090692,617.5348709557612,2791.905999999959
3004.625,3009.625,Baseline Window (200ug/ml / 1000ug/ml),623.3412298745664,617.5348709557612,623.6710712994435,617.5348709557612,2981.0619999999763
3340.5469999999623,3345.5469999999623,Baseline Window (1000ug/ml / 1000ug/ml),623.371366122855,617.5348709557612,623.7270358459069,617.5348709557612,3317.264999999956
3466.875,3471.875,Baseline Window (1000ug/ml / 1500ug/ml),623.7360273980274,617.5348709557612,623.8347029960787,617.5348709557612,3443.639999999956
3787.936999999976,3792.936999999976,Baseline Window (1500ug/ml / 1500ug/ml),623.3779023346548,617.5348709557612,623.7449142206755,617.5348709557612,3764.780999999959
3919.70299999998,3924.70299999998,Baseline Window (1500ug/ml / Final),623.7612114570626,617.5348709557612,623.8694466905462,617.5348709557612,3896.468999999983
4053.625,4058.625,Final Baseline,623.3499105877785,617.5348709557612,,,
