Window_Start,Window_End,information,ch1_avg,ch2_avg,ch1_peak,ch2_peak,peak_time
0.5629999999946449,5.562999999994645,Initial Baseline,623.9393810151954,617.5906594783339,,,
474.7969999999914,479.7969999999914,Baseline Window (5ug/ml / 5ug/ml),623.8949629123329,617.5906594783339,623.9782584515367,617.590659478334,451.9379999999946
663.359999999986,668.359999999986,Baseline Window (5ug/ml / 10ug/ml),623.8671734681967,617.5906594783339,623.9870867584235,617.590659478334,640.5
1081.875,1086.875,Baseline Window (10ug/ml / 10ug/ml),623.8624782874796,617.5906594783339,624.00787005662,617.590659478334,1058.9529999999795
1269.4379999999946,1274.4379999999946,Baseline Window (10ug/ml / 50ug/ml),623.8583915524665,617.5906594783339,624.0165089813918,617.590659478334,1246.530999999988
1684.8909999999742,1689.8909999999742,Baseline Window (50ug/ml / 50ug/ml),623.879298430898,617.5906594783339,624.2639712179003,617.590659478334,1662.030999999988
1872.4529999999795,1877.4529999999795,Baseline Window (50ug/ml / 100ug/ml),623.8841627254507,617.5906594783339,624.2636965636774,617.590659478334,1849.5939999999828
2228.875,2233.875,Baseline Window (100ug/ml / 100ug/ml),623.9021618850309,617.5906594783339,624.5597807170404,617.590659478334,2205.8439999999828
2415.890999999974,2420.890999999974,Baseline Window (100ug/ml / 200ug/ml),623.9180422406171,617.5906594783339,624.5671279152767,617.590659478334,2393.140999999974
2771.109999999986,2776.109999999986,Baseline Window (200ug/ml / 200ug/ml),623.9611501891287,617.5906594783339,625.1740251381775,617.590659478334,2748.4689999999828
2958.75,2963.75,Baseline Window (200ug/ml / 1000ug/ml),624.0530569823939,617.5906594783339,625.1939237341186,617.590659478334,2935.9219999999914
3290.25,3295.25,Baseline Window (1000ug/ml / 1000ug/ml),623.9861615678917,617.5906594783339,625.715312312003,617.590659478334,3267.437999999994
3417.015999999974,3422.015999999974,Baseline Window (1000ug/ml / 1500ug/ml),625.7185923016953,617.5906594783339,625.8010504781566,617.590659478334,3393.859999999986
3741.046999999992,3746.046999999992,Baseline Window (1500ug/ml / 1500ug/ml),624.0833759455477,617.5906594783339,625.8144650903529,617.590659478334,3718.046999999992
3879.0,3884.0,Baseline Window (1500ug/ml / Final),625.8080025896936,617.5906594783339,625.8845235282164,617.590659478334,3855.968999999983
4017.390999999974,4022.390999999974,Final Baseline,624.0625936199887,617.5906594783339,,,
