time,conc
328,5ug/ml-1
516,5ug/ml-2
939,10ug/ml-1
1128,10ug/ml-2
1549,50ug/ml-1
1737,50ug/ml-2
2095,100ug/ml-1
2283,100ug/ml-2
2642,200ug/ml-1
2830,200ug/ml-2
3165,1000ug/ml-1
3354,1000ug/ml-2
3611,1500ug/ml-1
3804,1500ug/ml-2
