conc,ch1
0.5,0.23854947692831785
1.5,0.24290720101508212
2.5,0.2540372632034369
3.5,0.27314518829018297
4.5,0.300709943871424
5.5,0.3366120553187639
6.5,0.38021957806379003
7.5,0.4304931960478213
8.5,0.4861138611472311
9.5,0.5456194685647107
10.5,0.6075330653398041
11.5,0.6704681111744355
12.5,0.7332027290158635
13.5,0.7947216964293393
14.5,0.8542301474166265
15.5,0.9111458046834904
16.5,0.9650772372080781
17.5,1.015794824582428
18.5,1.0631995682033573
19.5,1.107293210307382
20.5,1.1481516549356607
21.5,1.1859025736029534
22.5,1.2207073310795447
23.5,1.2527469237196844
24.5,1.2822114035838401
25.5,1.3092921905399764
26.5,1.3341766915806739
27.5,1.3570447091671907
28.5,1.3780662009130804
29.5,1.397400035035802
30.5,1.4151934611548627
31.5,1.431582080520382
32.5,1.446690152806096
33.5,1.4606311189043624
34.5,1.4735082521075438
35.5,1.4854153752360757
36.5,1.4964376002030368
37.5,1.506652060532739
38.5,1.516128617602681
39.5,1.5249305287648116
40.5,1.5331150707418715
41.5,1.5407341153440548
42.5,1.5478346570350299
43.5,1.5544592935148076
44.5,1.560646661519316
45.5,1.566431830639873
46.5,1.5718466582701027
47.5,1.5769201088878224
48.5,1.5816785408434388
49.5,1.586145963703284
50.5,1.5903442690206924
51.5,1.5942934372035955
52.5,1.5980117229315867
53.5,1.6015158213588365
54.5,1.6048210171291897
55.5,1.607941318030634
56.5,1.6108895749306567
57.5,1.613677589462956
58.5,1.6163162107798499
59.5,1.6188154225432176
60.5,1.6211844211992483
61.5,1.6234316864677745
62.5,1.625565044874526
63.5,1.6275917270632303
64.5,1.6295184195430776
65.5,1.6313513114546698
66.5,1.63309613687327
67.5,1.6347582131110971
68.5,1.636342475429773
69.5,1.6378535085291368
70.5,1.639295575138822
71.5,1.6406726420036895
72.5,1.6419884035228984
73.5,1.6432463032746158
74.5,1.644449553633715
75.5,1.645601153667926
76.5,1.6467039054784494
77.5,1.647760429133766
78.5,1.6487731763300033
79.5,1.6497444428975272
80.5,1.6506763802612514
81.5,1.6515710059512891
82.5,1.6524302132508821
83.5,1.6532557800598935
84.5,1.6540493770444247
85.5,1.6548125751362068
86.5,1.655546852439229
87.5,1.6562536005955368
88.5,1.6569341306571665
89.5,1.6575896785067226
90.5,1.6582214098651202
91.5,1.6588304249214108
92.5,1.6594177626163824
93.5,1.6599844046087195
94.5,1.6605312789498843
95.5,1.661059263491521
96.5,1.6615691890470532
97.5,1.662061842327219
98.5,1.66253796866755
99.5,1.662998274564224
100.5,1.6634434300333003
101.5,1.663874070807054
102.5,1.6642908003799548
103.5,1.664694191915773
104.5,1.665084790026338
105.5,1.6654631124315862
106.5,1.665829651509751
107.5,1.666184875745811
108.5,1.6665292310856614
109.5,1.6668631422028628
110.5,1.667187013684279
