time,conc
334,5ug/ml-1
499,5ug/ml-2
900,10ug/ml-1
1066,10ug/ml-2
1473,50ug/ml-1
1640,50ug/ml-2
1989,100ug/ml-1
2158,100ug/ml-2
2511,200ug/ml-1
2684,200ug/ml-2
3021,1000ug/ml-1
3194,1000ug/ml-2
3454,1500ug/ml-1
3643,1500ug/ml-2
