date,time,concentration,signal
2026-04-13,09:48:07,5,0.0395033479844642
2026-04-13,09:50:53,5,0.03858519505217828
2026-04-13,09:57:36,10,0.07781171783562968
2026-04-13,10:00:22,10,0.08271773818103156
2026-04-13,10:07:09,50,0.3666808435382336
2026-04-13,10:09:57,50,0.3670047651179402
2026-04-13,10:15:46,100,0.776621206618529
2026-04-13,10:18:35,100,0.7712077926565826
2026-04-13,10:24:29,200,1.3273455523709572
2026-04-13,10:27:22,200,1.3256886817853228
2026-04-13,10:32:58,1000,1.7493382754730646
2026-04-13,10:35:52,1000,1.744108732906966
2026-04-13,10:40:15,1500,1.8133795566153594
2026-04-13,10:43:24,1500,1.820002948748538
