time,conc
321,5ug/ml-1
509,5ug/ml-2
927,10ug/ml-1
1115,10ug/ml-2
1530,50ug/ml-1
1718,50ug/ml-2
2074,100ug/ml-1
2262,100ug/ml-2
2617,200ug/ml-1
2805,200ug/ml-2
3136,1000ug/ml-1
3323,1000ug/ml-2
3586,1500ug/ml-1
3784,1500ug/ml-2
