Window_Start,Window_End,information,ch1_avg,ch2_avg,ch1_peak,ch2_peak,peak_time
0.5,5.5,Initial Baseline,624.8213315250272,650.4740042576127,,,
480.40599999999904,485.40599999999904,Baseline Window (5ug/ml / 5ug/ml),624.8017128048493,650.4740042576128,624.9227976848258,650.4740042576128,458.3909999999996
669.2969999999987,674.2969999999987,Baseline Window (5ug/ml / 10ug/ml),624.7989144806728,650.4740042576128,624.909716929833,650.4740042576128,647.2659999999996
1093.1879999999985,1098.1879999999985,Baseline Window (10ug/ml / 10ug/ml),624.7909074554982,650.4740042576128,624.9263405250806,650.4740042576128,1071.1089999999967
1281.593999999997,1286.593999999997,Baseline Window (10ug/ml / 50ug/ml),624.7876792734038,650.4740042576128,624.9214831682525,650.4740042576128,1259.5629999999985
1705.3129999999985,1710.3129999999985,Baseline Window (50ug/ml / 50ug/ml),624.8013411815078,650.4740042576128,625.3366027708082,650.4740042576128,1683.280999999999
1894.046999999995,1899.046999999995,Baseline Window (50ug/ml / 100ug/ml),624.8072660904812,650.4740042576128,625.3729547383969,650.4740042576128,1871.969000000001
2255.4999999999964,2260.4999999999964,Baseline Window (100ug/ml / 100ug/ml),624.8207426810665,650.4740042576128,625.7054910261555,650.4740042576128,2233.4529999999977
2444.3129999999983,2449.3129999999983,Baseline Window (100ug/ml / 200ug/ml),624.8220443961316,650.4740042576128,625.7060580337209,650.4740042576128,2422.171999999995
2806.671999999995,2811.671999999995,Baseline Window (200ug/ml / 200ug/ml),624.8360340122717,650.4740042576128,626.0474243030042,650.4740042576128,2784.6090000000004
2995.8590000000004,3000.8590000000004,Baseline Window (200ug/ml / 1000ug/ml),624.880357566695,650.4740042576128,626.0483742879164,650.4740042576128,2973.8129999999983
3333.171999999995,3338.171999999995,Baseline Window (1000ug/ml / 1000ug/ml),624.8640133144519,650.4740042576128,626.3723084913679,650.4740042576128,3311.141
3459.266,3464.266,Baseline Window (1000ug/ml / 1500ug/ml),626.3759826497344,650.4740042576128,626.448809723479,650.4740042576128,3437.1879999999983
3779.624999999997,3784.624999999997,Baseline Window (1500ug/ml / 1500ug/ml),624.9003491500877,650.4740042576128,626.4324505163731,650.4740042576128,3757.655999999999
3911.219000000001,3916.219000000001,Baseline Window (1500ug/ml / Final),626.4366608553148,650.4740042576128,626.515075437804,650.4740042576128,3889.155999999999
4045.766,4050.766,Final Baseline,624.8918230725546,650.4740042576127,,,
