Window_Start,Window_End,information,ch1_avg,ch2_avg,ch1_peak,ch2_peak,peak_time
0.5,5.5,Initial Baseline,625.3544396640142,650.4740042576127,,,
486.6560000000027,491.6560000000027,Baseline Window (5ug/ml / 5ug/ml),625.3233626561744,650.4740042576128,625.4019725320628,650.4740042576128,462.875
674.9060000000027,679.9060000000027,Baseline Window (5ug/ml / 10ug/ml),625.3167359284471,650.4740042576128,625.3977743197642,650.4740042576128,651.0620000000054
1103.5,1108.5,Baseline Window (10ug/ml / 10ug/ml),625.3116227363188,650.4740042576128,625.4578586637253,650.4740042576128,1079.422000000006
1290.4370000000054,1295.4370000000054,Baseline Window (10ug/ml / 50ug/ml),625.3207669659763,650.4740042576128,625.4654072834692,650.4740042576128,1268.3899999999994
1714.375,1719.375,Baseline Window (50ug/ml / 50ug/ml),625.3307604927522,650.4740042576128,625.8085160126923,650.4740042576128,1692.281000000003
1903.2649999999996,1908.2649999999996,Baseline Window (50ug/ml / 100ug/ml),625.3387659854103,650.4740042576128,625.8269344959435,650.4740042576128,1881.125
2265.343000000008,2270.343000000008,Baseline Window (100ug/ml / 100ug/ml),625.3527088643026,650.4740042576128,626.1719452202863,650.4740042576128,2243.2340000000117
2431.6090000000117,2436.6090000000117,Baseline Window (100ug/ml / 200ug/ml),625.6139420821595,650.4740042576128,626.1656285347359,650.4740042576128,2409.5620000000054
2815.4060000000027,2820.4060000000027,Baseline Window (200ug/ml / 200ug/ml),625.3644429612832,650.4740042576128,626.4595627259584,650.4740042576128,2793.2030000000086
3004.8120000000054,3009.8120000000054,Baseline Window (200ug/ml / 1000ug/ml),625.3890223439977,650.4740042576128,626.4674771895104,650.4740042576128,2982.672000000006
3341.9370000000054,3346.9370000000054,Baseline Window (1000ug/ml / 1000ug/ml),625.3736891216613,650.4740042576128,626.7151844614035,650.4740042576128,3319.7340000000117
3469.625,3474.625,Baseline Window (1000ug/ml / 1500ug/ml),626.7130262120851,650.4740042576128,626.7742184888846,650.4740042576128,3447.4840000000117
3788.1090000000113,3793.1090000000113,Baseline Window (1500ug/ml / 1500ug/ml),625.3882802244,650.4740042576128,626.7707224548574,650.4740042576128,3766.015
3920.1090000000113,3925.1090000000113,Baseline Window (1500ug/ml / Final),626.7803801572214,650.4740042576128,626.8686830729516,650.4740042576128,3897.89
4054.625,4059.625,Final Baseline,625.3826021478737,650.4740042576127,,,
