Window_Start,Window_End,information,ch1_avg,ch2_avg,ch1_peak,ch2_peak,peak_time
0.5,5.5,Initial Baseline,624.8652213911676,650.4740042576127,,,
480.265999999996,485.265999999996,Baseline Window (5ug/ml / 5ug/ml),624.8340535266212,650.4740042576128,624.934224599527,650.4740042576128,458.25
669.0469999999987,674.0469999999987,Baseline Window (5ug/ml / 10ug/ml),624.823672659237,650.4740042576128,624.9237390178977,650.4740042576128,647.0629999999946
1094.171999999999,1099.171999999999,Baseline Window (10ug/ml / 10ug/ml),624.8049606126567,650.4740042576128,624.9818901975613,650.4740042576128,1071.2350000000006
1281.703999999998,1286.703999999998,Baseline Window (10ug/ml / 50ug/ml),624.8191353560277,650.4740042576128,624.9836181845255,650.4740042576128,1259.7350000000006
1705.593999999997,1710.593999999997,Baseline Window (50ug/ml / 50ug/ml),624.8359783265784,650.4740042576128,625.3902578861085,650.4740042576128,1683.5319999999992
1894.296999999999,1899.296999999999,Baseline Window (50ug/ml / 100ug/ml),624.841983516815,650.4740042576128,625.4178006366784,650.4740042576128,1872.2350000000008
2256.7350000000006,2261.7350000000006,Baseline Window (100ug/ml / 100ug/ml),624.8532992522889,650.4740042576128,625.7563397092788,650.4740042576128,2234.6719999999987
2445.6100000000006,2450.6100000000006,Baseline Window (100ug/ml / 200ug/ml),624.8559248430134,650.4740042576128,625.7731816317647,650.4740042576128,2423.562999999994
2808.75,2813.75,Baseline Window (200ug/ml / 200ug/ml),624.8704294116626,650.4740042576128,626.0623272475171,650.4740042576128,2786.640999999996
2998.203999999998,3003.203999999998,Baseline Window (200ug/ml / 1000ug/ml),624.9119432314137,650.4740042576128,626.0707550609886,650.4740042576128,2976.1100000000006
3335.5939999999973,3340.5939999999973,Baseline Window (1000ug/ml / 1000ug/ml),624.8883314001067,650.4740042576128,626.3888369422313,650.4740042576128,3313.5319999999992
3463.6100000000006,3468.6100000000006,Baseline Window (1000ug/ml / 1500ug/ml),626.3775172018378,650.4740042576128,626.4309884603842,650.4740042576128,3441.515999999996
3781.343999999997,3786.343999999997,Baseline Window (1500ug/ml / 1500ug/ml),624.9048689643216,650.4740042576128,626.4394436216484,650.4740042576128,3759.25
3912.9069999999992,3917.9069999999992,Baseline Window (1500ug/ml / Final),626.438481781115,650.4740042576128,626.5482251062389,650.4740042576128,3890.718999999997
4047.718999999997,4052.718999999997,Final Baseline,624.9153325150011,650.4740042576127,,,
