time,conc
322,5ug/ml-1
510,5ug/ml-2
928,10ug/ml-1
1116,10ug/ml-2
1531,50ug/ml-1
1719,50ug/ml-2
2075,100ug/ml-1
2262,100ug/ml-2
2619,200ug/ml-1
2806,200ug/ml-2
3137,1000ug/ml-1
3325,1000ug/ml-2
3589,1500ug/ml-1
3787,1500ug/ml-2
