time,conc
328,5ug/ml-1
517,5ug/ml-2
942,10ug/ml-1
1131,10ug/ml-2
1553,50ug/ml-1
1742,50ug/ml-2
2104,100ug/ml-1
2292,100ug/ml-2
2654,200ug/ml-1
2843,200ug/ml-2
3181,1000ug/ml-1
3369,1000ug/ml-2
3625,1500ug/ml-1
3819,1500ug/ml-2
