date,time,concentration,signal
2026-04-16,08:49:42,5,0.040816399404207004
2026-04-16,08:52:27,5,0.04151575597779811
2026-04-16,08:59:09,10,0.08613899957731519
2026-04-16,09:01:55,10,0.08533891032425345
2026-04-16,09:08:43,50,0.3500718168892263
2026-04-16,09:11:30,50,0.35993332568136793
2026-04-16,09:17:18,100,0.6824610918951066
2026-04-16,09:20:08,100,0.6869317855539521
2026-04-16,09:26:03,200,1.0409823663605948
2026-04-16,09:28:55,200,1.036577985167355
2026-04-16,09:34:30,1000,1.3483671558029755
2026-04-16,09:37:24,1000,1.3484873990396409
2026-04-16,09:41:46,1500,1.4055690706618407
2026-04-16,09:44:55,1500,1.4082808559134037
