time,conc
321,5ug/ml-1
509,5ug/ml-2
928,10ug/ml-1
1116,10ug/ml-2
1532,50ug/ml-1
1719,50ug/ml-2
2075,100ug/ml-1
2263,100ug/ml-2
2618,200ug/ml-1
2806,200ug/ml-2
3137,1000ug/ml-1
3325,1000ug/ml-2
3587,1500ug/ml-1
3785,1500ug/ml-2
