time,conc
321,5ug/ml-1
509,5ug/ml-2
928,10ug/ml-1
1115,10ug/ml-2
1531,50ug/ml-1
1718,50ug/ml-2
2074,100ug/ml-1
2262,100ug/ml-2
2618,200ug/ml-1
2806,200ug/ml-2
3137,1000ug/ml-1
3325,1000ug/ml-2
3588,1500ug/ml-1
3786,1500ug/ml-2
