time,conc
327,5ug/ml-1
516,5ug/ml-2
939,10ug/ml-1
1128,10ug/ml-2
1552,50ug/ml-1
1740,50ug/ml-2
2102,100ug/ml-1
2290,100ug/ml-2
2653,200ug/ml-1
2842,200ug/ml-2
3179,1000ug/ml-1
3368,1000ug/ml-2
3626,1500ug/ml-1
3820,1500ug/ml-2
