Window_Start,Window_End,information,ch1_avg,ch2_avg,ch1_absolute_peak,ch2_absolute_peak,absolute_peak_time,ch1_peak,ch2_peak,peak_time
0.5,5.5,Initial Baseline,-0.004790650924077353,0.0,,,,,,
484.8435000000027,489.8435000000027,Baseline Window -1 (5ug/ml / 5ug/ml),-0.05006084891596174,0.0,0.10441073165100079,0.0,398.984000000004,0.061795837555109756,0.0,457.7030000000013
509.4690000000046,514.4690000000046,Baseline Window -2 (5ug/ml / 5ug/ml),0.02095562804051015,0.0,0.10441073165100079,0.0,398.984000000004,0.061795837555109756,0.0,457.7030000000013
792.0470000000059,797.0470000000059,Baseline Window -1 (5ug/ml / 10ug/ml),0.0037170573115792435,0.0,0.09741698448749503,0.0,588.1410000000033,0.06100635929658438,0.0,647.375
934.25,939.25,Baseline Window -2 (5ug/ml / 10ug/ml),0.018500246266278414,0.0,0.09741698448749503,0.0,588.1410000000033,0.06100635929658438,0.0,647.375
1096.921500000004,1101.921500000004,Baseline Window -1 (10ug/ml / 10ug/ml),-0.033320162456744934,0.0,0.15042712142815162,0.0,1012.5940000000046,0.12879275031355064,0.0,1068.0940000000046
1123.375,1128.375,Baseline Window -2 (10ug/ml / 10ug/ml),0.017894759841972113,0.0,0.15042712142815162,0.0,1012.5940000000046,0.12879275031355064,0.0,1068.0940000000046
1402.9375000000036,1407.9375000000036,Baseline Window -1 (10ug/ml / 50ug/ml),0.007193122826663512,0.0,0.1760596573218436,0.0,1201.781000000003,0.1300787375953405,0.0,1258.7190000000046
1544.359000000004,1549.359000000004,Baseline Window -2 (10ug/ml / 50ug/ml),0.025515051931720604,0.0,0.1760596573218436,0.0,1201.781000000003,0.1300787375953405,0.0,1258.7190000000046
1708.3825000000033,1713.3825000000033,Baseline Window -1 (50ug/ml / 50ug/ml),-0.041034409185474234,0.0,0.5452235579067519,0.0,1622.4370000000054,0.5075197297423983,0.0,1681.8440000000046
1732.4370000000054,1737.4370000000054,Baseline Window -2 (50ug/ml / 50ug/ml),0.03616444836733182,0.0,0.5452235579067519,0.0,1622.4370000000054,0.5075197297423983,0.0,1681.8440000000046
1981.3910000000035,1986.3910000000035,Baseline Window -1 (50ug/ml / 100ug/ml),0.03489366268964953,0.0,0.5382220966005207,0.0,1811.422000000006,0.5382265996948945,0.0,1867.5940000000048
2092.4690000000046,2097.4690000000046,Baseline Window -2 (50ug/ml / 100ug/ml),0.040464908020674234,0.0,0.5382220966005207,0.0,1811.422000000006,0.5382265996948945,0.0,1867.5940000000048
2258.8910000000037,2263.8910000000037,Baseline Window -1 (100ug/ml / 100ug/ml),-0.029151347261009666,0.0,0.9948204439957635,0.0,2170.9690000000046,0.9579326351095006,0.0,2227.859000000004
2281.3910000000037,2286.3910000000037,Baseline Window -2 (100ug/ml / 100ug/ml),0.06023636572510494,0.0,0.9948204439957635,0.0,2170.9690000000046,0.9579326351095006,0.0,2227.859000000004
