time,conc
327,5ug/ml-1
515,5ug/ml-2
939,10ug/ml-1
1128,10ug/ml-2
1552,50ug/ml-1
1741,50ug/ml-2
2103,100ug/ml-1
2292,100ug/ml-2
2655,200ug/ml-1
2844,200ug/ml-2
3182,1000ug/ml-1
3371,1000ug/ml-2
3627,1500ug/ml-1
3821,1500ug/ml-2
