time,conc
331,5ug/ml-1
520,5ug/ml-2
948,10ug/ml-1
1137,10ug/ml-2
1560,50ug/ml-1
1749,50ug/ml-2
2112,100ug/ml-1
2300,100ug/ml-2
2662,200ug/ml-1
2851,200ug/ml-2
3188,1000ug/ml-1
3377,1000ug/ml-2
3634,1500ug/ml-1
3828,1500ug/ml-2
