time,conc
328,5ug/ml-1
517,5ug/ml-2
942,10ug/ml-1
1131,10ug/ml-2
1552,50ug/ml-1
1740,50ug/ml-2
2100,100ug/ml-1
2289,100ug/ml-2
2650,200ug/ml-1
2839,200ug/ml-2
3174,1000ug/ml-1
3363,1000ug/ml-2
3620,1500ug/ml-1
3814,1500ug/ml-2
