time,conc
327,5ug/ml-1
516,5ug/ml-2
939,10ug/ml-1
1128,10ug/ml-2
1551,50ug/ml-1
1739,50ug/ml-2
2102,100ug/ml-1
2291,100ug/ml-2
2653,200ug/ml-1
2842,200ug/ml-2
3178,1000ug/ml-1
3367,1000ug/ml-2
3624,1500ug/ml-1
3817,1500ug/ml-2
