time,conc
335,5ug/ml-1
500,5ug/ml-2
902,10ug/ml-1
1069,10ug/ml-2
1476,50ug/ml-1
1643,50ug/ml-2
1991,100ug/ml-1
2160,100ug/ml-2
2515,200ug/ml-1
2687,200ug/ml-2
3022,1000ug/ml-1
3196,1000ug/ml-2
3456,1500ug/ml-1
3644,1500ug/ml-2
