time,conc
333,5ug/ml-1
498,5ug/ml-2
900,10ug/ml-1
1067,10ug/ml-2
1475,50ug/ml-1
1643,50ug/ml-2
1992,100ug/ml-1
2161,100ug/ml-2
2515,200ug/ml-1
2688,200ug/ml-2
3023,1000ug/ml-1
3197,1000ug/ml-2
3458,1500ug/ml-1
3647,1500ug/ml-2
