time,conc
331,5ug/ml-1
520,5ug/ml-2
947,10ug/ml-1
1136,10ug/ml-2
1559,50ug/ml-1
1748,50ug/ml-2
2110,100ug/ml-1
2299,100ug/ml-2
2660,200ug/ml-1
2849,200ug/ml-2
3185,1000ug/ml-1
3375,1000ug/ml-2
3633,1500ug/ml-1
3826,1500ug/ml-2
