time,conc
322,5ug/ml-1
509,5ug/ml-2
927,10ug/ml-1
1115,10ug/ml-2
1530,50ug/ml-1
1717,50ug/ml-2
2073,100ug/ml-1
2260,100ug/ml-2
2616,200ug/ml-1
2803,200ug/ml-2
3134,1000ug/ml-1
3321,1000ug/ml-2
3584,1500ug/ml-1
3782,1500ug/ml-2
