date,time,concentration,signal
2026-04-15,08:52:06,5,0.054442236004661027
2026-04-15,08:54:51,5,0.05015442040883045
2026-04-15,09:01:33,10,0.08850468436787651
2026-04-15,09:04:19,10,0.08656025179254812
2026-04-15,09:11:08,50,0.3936922307508439
2026-04-15,09:13:56,50,0.39818954301017584
2026-04-15,09:19:45,100,0.745526581280842
2026-04-15,09:22:34,100,0.7430597671109354
2026-04-15,09:28:28,200,1.1352494203065362
2026-04-15,09:31:21,200,1.1276598389971468
2026-04-15,09:36:57,1000,1.4562524153935783
2026-04-15,09:39:51,1000,1.45383812074067
2026-04-15,09:44:14,1500,1.527247115223986
2026-04-15,09:47:24,1500,1.5176663432969235
