time,conc
337,5ug/ml-1
503,5ug/ml-2
906,10ug/ml-1
1072,10ug/ml-2
1479,50ug/ml-1
1646,50ug/ml-2
1995,100ug/ml-1
2164,100ug/ml-2
2518,200ug/ml-1
2691,200ug/ml-2
3027,1000ug/ml-1
3200,1000ug/ml-2
3461,1500ug/ml-1
3650,1500ug/ml-2
